#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             IonIon              BlockWeight         BlockCPU            AcceptRatio         
        25   -2.1994120912e+00    5.0167468164e+00   -4.3921995995e+00    2.1927875083e+00    1.8074282237e+00   -8.0716424179e+00    1.8720145947e+00    1.4000000000e+03    1.0032000000e-02    9.8803571429e-01
        26   -2.1619953682e+00    4.8262718066e+00   -4.4225315226e+00    2.2605361543e+00    1.8281583489e+00   -8.1227044661e+00    1.8720145947e+00    1.4000000000e+03    1.0805000000e-02    9.8767857143e-01
        27   -2.1071025208e+00    4.6000554652e+00   -4.1019084144e+00    1.9948058936e+00    1.8446040282e+00   -7.8185270372e+00    1.8720145947e+00    1.4000000000e+03    1.0449000000e-02    9.9214285714e-01
        28   -2.1312225753e+00    4.7378021953e+00   -4.4407044239e+00    2.3094818486e+00    1.8567883524e+00   -8.1695073709e+00    1.8720145947e+00    1.4000000000e+03    1.0575000000e-02    9.8571428571e-01
        29   -2.1751885619e+00    4.8898038700e+00   -4.4842351142e+00    2.3090465523e+00    1.8736537318e+00   -8.2299034406e+00    1.8720145947e+00    1.4000000000e+03    8.0640000000e-03    9.8732142857e-01
        30   -2.1024891837e+00    4.5508652972e+00   -4.6557842302e+00    2.5532950465e+00    1.9350134618e+00   -8.4628122866e+00    1.8720145947e+00    1.4000000000e+03    9.0080000000e-03    9.8982142857e-01
        31   -2.0991001776e+00    4.5776983875e+00   -4.3594658921e+00    2.2603657145e+00    1.6904839002e+00   -7.9219643869e+00    1.8720145947e+00    1.4000000000e+03    1.0247000000e-02    9.8839285714e-01
        32   -2.1384837264e+00    4.7100787827e+00   -4.2842560662e+00    2.1457723398e+00    1.7206316937e+00   -7.8769023545e+00    1.8720145947e+00    1.4000000000e+03    1.0409000000e-02    9.8946428571e-01
        33   -2.1935824064e+00    4.9653044266e+00   -4.0591971829e+00    1.8656147764e+00    1.8398899845e+00   -7.7711017621e+00    1.8720145947e+00    1.4000000000e+03    1.0609000000e-02    9.9035714286e-01
        34   -2.1611898694e+00    4.8148466676e+00   -4.0580919485e+00    1.8969020792e+00    1.8165751362e+00   -7.7466816794e+00    1.8720145947e+00    1.4000000000e+03    1.0422000000e-02    9.8946428571e-01
        35   -2.0968818209e+00    4.5611816878e+00   -4.2064599720e+00    2.1095781510e+00    1.7736200742e+00   -7.8520946409e+00    1.8720145947e+00    1.4000000000e+03    1.0676000000e-02    9.8910714286e-01
        36   -2.1710145060e+00    4.8484209734e+00   -4.2302237704e+00    2.0592092643e+00    1.8004488922e+00   -7.9026872572e+00    1.8720145947e+00    1.4000000000e+03    1.0413000000e-02    9.8982142857e-01
        37   -2.1241142435e+00    4.6942776728e+00   -4.1321853801e+00    2.0080711366e+00    1.8383330507e+00   -7.8425330255e+00    1.8720145947e+00    1.4000000000e+03    1.0543000000e-02    9.9125000000e-01
        38   -2.1622282401e+00    4.8214033640e+00   -4.6060621853e+00    2.4438339452e+00    1.8958711065e+00   -8.3739478865e+00    1.8720145947e+00    1.4000000000e+03    1.0398000000e-02    9.8517857143e-01
        39   -2.0353031855e+00    4.3574830695e+00   -4.5770033529e+00    2.5417001673e+00    1.9969169446e+00   -8.4459348921e+00    1.8720145947e+00    1.4000000000e+03    1.0307000000e-02    9.8589285714e-01
        40   -2.1907572112e+00    4.9925603868e+00   -4.2333738988e+00    2.0426166876e+00    1.8881003787e+00   -7.9934888721e+00    1.8720145947e+00    1.4000000000e+03    1.0364000000e-02    9.8946428571e-01
        41   -2.1549315382e+00    4.7860859155e+00   -4.0055775789e+00    1.8506460407e+00    1.7023397503e+00   -7.5799319238e+00    1.8720145947e+00    1.4000000000e+03    1.0293000000e-02    9.9142857143e-01
        42   -2.1912716410e+00    4.9490971797e+00   -4.2033236135e+00    2.0120519725e+00    1.7199263367e+00   -7.7952645449e+00    1.8720145947e+00    1.4000000000e+03    1.0323000000e-02    9.8660714286e-01
        43   -2.1592483865e+00    4.8113595184e+00   -4.5715418111e+00    2.4122934246e+00    1.7661814810e+00   -8.2097378867e+00    1.8720145947e+00    1.4000000000e+03    1.0310000000e-02    9.8625000000e-01
        44   -2.1079138340e+00    4.6217004787e+00   -4.1695501994e+00    2.0616363654e+00    1.7791324822e+00   -7.8206972763e+00    1.8720145947e+00    1.4000000000e+03    1.0531000000e-02    9.8571428571e-01
        45   -2.1152163772e+00    4.6330329076e+00   -4.3053355973e+00    2.1901192200e+00    1.7093469125e+00   -7.8866971044e+00    1.8720145947e+00    1.4000000000e+03    9.7830000000e-03    9.8750000000e-01
        46   -2.0972279860e+00    4.5363698201e+00   -4.3402905854e+00    2.2430625995e+00    1.8380808919e+00   -8.0503860720e+00    1.8720145947e+00    1.4000000000e+03    1.0300000000e-02    9.8875000000e-01
