# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        32   -1.0501995036e+01    3.0088166686e-01    6.2995961874e+01    6.3000000000e+01    0.0000000000e+00   -1.0535984929e+01    1.0000000000e+00    1.0000000000e+00
        33   -1.0504155484e+01    3.1839098111e-01    6.4002183975e+01    6.3000000000e+01    0.0000000000e+00   -7.3395037832e+00    1.0000000000e+00    1.0000000000e+00
        34   -1.0507327729e+01    3.1973946818e-01    6.3997076069e+01    6.4000000000e+01    0.0000000000e+00   -1.0510980288e+01    9.9940672466e-01    1.0000000000e+00
        35   -1.0494004299e+01    3.2785552197e-01    6.4000550391e+01    6.4000000000e+01    0.0000000000e+00   -1.0498190237e+01    1.0000000000e+00    1.0000000000e+00
        36   -1.0459562915e+01    3.7988506198e-01    6.3993697434e+01    6.4000000000e+01    0.0000000000e+00   -1.0495724264e+01    1.0000000000e+00    1.0000000000e+00
        37   -1.0466216531e+01    4.2920117261e-01    6.4007066306e+01    6.4000000000e+01    0.0000000000e+00   -1.0439866427e+01    9.9591912990e-01    9.8437500000e-01
        38   -1.0497591196e+01    2.8843200555e-01    6.2999773048e+01    6.3000000000e+01    0.0000000000e+00   -1.0488297518e+01    9.9190533246e-01    1.0000000000e+00
        39   -1.0451817280e+01    5.3235871349e-01    6.3990567113e+01    6.3000000000e+01    0.0000000000e+00   -7.3471993169e+00    1.0000000000e+00    1.0000000000e+00
        40   -1.0521120707e+01    3.9449246323e-01    6.4020895422e+01    6.4000000000e+01    0.0000000000e+00   -1.0422337337e+01    9.9867469464e-01    1.0000000000e+00
        41   -1.0564805267e+01    3.7878354907e-01    6.3985820857e+01    6.4000000000e+01    0.0000000000e+00   -1.0586408243e+01    1.0000000000e+00    9.8437500000e-01
        42   -1.0526811801e+01    3.6289012253e-01    6.4011102758e+01    6.4000000000e+01    0.0000000000e+00   -1.0520490536e+01    9.9208989239e-01    1.0000000000e+00
        43   -1.0460916028e+01    4.1094894454e-01    6.3978118612e+01    6.4000000000e+01    0.0000000000e+00   -1.0561504911e+01    9.9869361691e-01    1.0000000000e+00
        44   -1.0472926016e+01    3.8053037125e-01    6.4023463687e+01    6.4000000000e+01    0.0000000000e+00   -1.0392524997e+01    9.9449165706e-01    1.0000000000e+00
        45   -1.0412466811e+01    3.5442842774e-01    6.3966653011e+01    6.4000000000e+01    0.0000000000e+00   -1.0546236599e+01    9.9866209900e-01    1.0000000000e+00
